coord_key,Latitude,Longitude,Temperature,Humidity,Rainfall,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_C,Soil_Type
30.0000_3.6400,30.0,3.64,23.75,31.72,41.3,8.5,7.7,3.85,12.32,3.0,Loamy
30.0000_3.7200,30.0,3.72,23.75,31.72,41.3,8.4,7.7,3.85,13.2,3.0,Loamy
30.0000_3.8000,30.0,3.8,23.84,31.65,32.5,8.5,7.5,3.75,13.44,3.1,Loamy
30.0000_3.8800,30.0,3.88,23.93,31.67,32.3,8.4,7.6,3.8,12.48,3.7,Loamy
30.0000_3.9600,30.0,3.96,23.99,31.81,20.2,8.4,7.5,3.75,11.68,2.5,Loamy
30.0000_3.3200,30.0,3.32,23.65,31.65,57.8,8.5,10.8,5.4,14.32,3.5,Loamy
30.0000_4.0400,30.0,4.04,24.02,31.96,29.9,8.4,7.5,3.75,14.56,2.7,Loamy
30.0000_4.1200,30.0,4.12,24.02,31.96,29.9,8.4,7.7,3.85,13.2,2.6,Loamy
30.0000_4.2800,30.0,4.28,24.18,31.63,31.3,8.4,7.8,3.9,12.0,2.5,Loamy
30.0000_4.2000,30.0,4.2,24.12,31.78,27.5,8.4,10.3,5.15,12.72,2.5,Loamy
30.0000_4.3600,30.0,4.36,24.23,31.75,25.1,8.4,7.7,3.85,11.52,2.3,Loamy
30.0000_4.4400,30.0,4.44,24.23,31.75,25.1,8.3,8.0,4.0,12.16,2.7,Loamy
30.0000_4.6000,30.0,4.6,24.17,32.02,34.2,8.4,7.4,3.7,11.68,2.6,Loamy
30.0000_4.5200,30.0,4.52,24.22,31.81,24.9,8.3,7.5,3.75,12.4,2.7,Loamy
30.0000_3.4800,30.0,3.48,23.71,31.6,54.2,8.4,7.8,3.9,13.04,2.6,Loamy
30.0000_4.7600,30.0,4.76,24.15,32.28,39.3,8.3,7.6,3.8,11.36,2.5,Loamy
30.0000_4.8400,30.0,4.84,24.09,32.35,50.2,8.3,7.2,3.6,11.84,2.4,Loamy
30.0000_3.5600,30.0,3.56,23.75,31.69,54.1,8.5,7.7,3.85,13.04,3.0,Loamy
30.0000_4.9200,30.0,4.92,24.06,32.44,59.7,8.3,7.0,3.5,11.2,2.4,Loamy
30.0000_5.0000,30.0,5.0,24.01,32.48,61.9,8.4,7.4,3.7,10.96,2.3,Loamy
30.0000_5.1600,30.0,5.16,24.0,32.43,62.2,8.3,8.6,4.3,11.36,3.1,Loamy
30.0000_5.2400,30.0,5.24,23.98,32.38,53.4,8.4,5.7,2.85,11.28,2.6,Loamy
30.0000_5.3200,30.0,5.32,23.94,32.44,39.9,8.4,7.2,3.6,10.48,3.2,Loamy
30.0000_5.4000,30.0,5.4,23.94,32.44,39.9,8.3,8.9,4.45,10.64,4.2,Loamy
30.0000_4.6800,30.0,4.68,24.15,32.28,39.3,8.4,9.1,4.55,11.44,3.8,Loamy
30.0000_5.0800,30.0,5.08,24.01,32.48,61.9,8.4,5.6,2.8,11.2,3.1,Loamy
30.0000_5.5600,30.0,5.56,23.99,32.46,37.0,8.4,8.1,4.05,10.88,3.4,Loamy
30.0000_5.6400,30.0,5.64,24.01,32.47,48.3,8.4,5.4,2.7,10.72,4.7,Loamy
30.0000_5.4800,30.0,5.48,23.95,32.48,36.6,8.3,7.4,3.7,10.72,5.2,Loamy
30.0000_5.9600,30.0,5.96,24.18,32.37,52.1,8.3,7.7,3.85,10.72,2.3,Loamy
30.0000_6.0400,30.0,6.04,24.22,32.37,50.9,8.4,5.3,2.65,10.64,2.9,Loamy
30.0000_6.1200,30.0,6.12,24.22,32.37,50.9,8.4,7.3,3.65,10.96,2.9,Loamy
30.0000_5.7200,30.0,5.72,24.03,32.61,54.2,8.3,7.9,3.95,10.8,2.6,Loamy
30.0000_5.8800,30.0,5.88,24.12,32.49,47.8,8.4,7.1,3.55,10.4,3.8,Loamy
30.0000_6.2000,30.0,6.2,24.28,32.33,46.1,8.3,7.3,3.65,10.0,2.6,Loamy
30.0000_6.4400,30.0,6.44,24.56,32.01,53.3,8.3,7.2,3.6,10.64,2.5,Loamy
30.0000_5.8000,30.0,5.8,24.03,32.61,54.2,8.4,8.3,4.15,10.72,3.6,Loamy
30.0000_6.6000,30.0,6.6,24.49,32.2,59.1,8.4,6.7,3.35,10.56,2.5,Loamy
30.0000_6.6800,30.0,6.68,24.33,32.36,62.7,8.3,7.2,3.6,10.64,2.5,Loamy
30.0000_6.7600,30.0,6.76,24.33,32.36,62.7,8.2,7.1,3.55,11.92,2.5,Loamy
30.0000_6.8400,30.0,6.84,24.28,32.52,69.0,8.2,9.9,4.95,10.64,2.9,Loamy
30.0000_6.5200,30.0,6.52,24.47,32.11,50.8,8.4,7.2,3.6,11.04,2.5,Loamy
30.0000_7.0000,30.0,7.0,24.26,32.62,65.4,8.2,6.8,3.4,10.16,2.5,Loamy
30.0000_7.0800,30.0,7.08,24.26,32.62,65.4,8.2,6.7,3.35,10.32,2.7,Loamy
30.0000_7.1600,30.0,7.16,24.23,32.69,68.1,8.2,6.8,3.4,10.56,2.5,Loamy
30.0000_7.2400,30.0,7.24,24.21,32.82,71.8,8.2,6.9,3.45,10.88,2.7,Loamy
30.0000_6.9200,30.0,6.92,24.27,32.57,71.3,8.2,7.0,3.5,10.24,2.5,Loamy
30.0000_6.2800,30.0,6.28,24.46,32.21,52.4,8.3,7.3,3.65,10.88,2.3,Loamy
30.0000_6.3600,30.0,6.36,24.56,32.01,53.3,8.3,7.3,3.65,11.04,2.5,Loamy
30.0000_7.3200,30.0,7.32,24.19,33.0,82.6,8.1,4.4,2.2,10.72,2.6,Loamy
30.0000_7.4000,30.0,7.4,24.13,33.16,64.9,8.1,4.9,2.45,12.4,3.0,Loamy
30.0000_7.4800,30.0,7.48,24.13,33.16,64.9,8.1,10.4,5.2,11.04,2.9,Loamy
30.0000_7.5600,30.0,7.56,24.04,33.32,76.9,8.2,5.3,2.65,11.12,2.5,Loamy
30.0000_7.7200,30.0,7.72,23.91,33.69,92.2,8.1,6.6,3.3,10.64,3.3,Loamy
30.0000_7.6400,30.0,7.64,23.96,33.43,81.2,8.1,4.6,2.3,10.88,2.9,Loamy
30.0000_7.8000,30.0,7.8,23.91,33.69,92.2,8.1,6.4,3.2,10.96,3.5,Loamy
30.0000_7.8800,30.0,7.88,23.93,33.75,103.1,8.1,6.9,3.45,11.36,5.9,Loamy
30.0000_8.0400,30.0,8.04,24.0,33.59,65.0,8.1,6.7,3.35,11.76,4.9,Loamy
30.0000_7.9600,30.0,7.96,23.98,33.69,88.9,8.1,5.1,2.55,11.92,3.9,Loamy
30.0000_8.1200,30.0,8.12,24.0,33.59,65.0,8.1,6.7,3.35,13.12,4.6,Loamy
30.0000_8.2000,30.0,8.2,23.99,33.43,68.6,8.1,5.2,2.6,12.8,3.6,Loamy
30.0000_8.3600,30.0,8.36,23.91,33.42,74.0,8.2,5.7,2.85,12.88,4.1,Loamy
30.0000_8.2800,30.0,8.28,23.95,33.41,71.6,8.1,5.1,2.55,12.56,4.1,Loamy
30.0000_8.4400,30.0,8.44,23.91,33.42,74.0,8.1,6.8,3.4,12.88,4.3,Loamy
30.0800_-0.8400,30.08,-0.84,22.88,31.78,90.9,8.2,11.1,5.55,16.88,3.5,Loamy
30.0800_-1.0000,30.08,-1.0,22.89,31.52,92.1,8.3,14.4,7.2,16.4,6.2,Loamy
30.0800_-0.7600,30.08,-0.76,22.88,31.8,82.4,8.3,8.5,4.25,15.68,2.9,Loamy
30.0800_-0.6000,30.08,-0.6,22.88,31.9,103.2,8.4,5.2,2.6,15.52,3.4,Loamy
30.0800_-0.5200,30.08,-0.52,22.88,31.98,98.9,8.2,8.6,4.3,14.88,3.0,Loamy
30.0800_-0.3600,30.08,-0.36,23.0,31.75,89.0,8.2,5.5,2.75,15.92,3.1,Loamy
30.0800_-0.4400,30.08,-0.44,22.93,31.92,104.5,8.2,8.6,4.3,15.28,3.2,Loamy
30.0800_-0.1200,30.08,-0.12,23.05,31.64,110.1,8.5,8.4,4.2,16.24,3.0,Loamy
30.0800_-0.0400,30.08,-0.04,23.02,31.69,81.5,8.4,7.0,3.5,15.68,3.4,Loamy
30.0800_0.0400,30.08,0.04,23.02,31.69,81.5,8.4,6.3,3.15,15.52,3.1,Loamy
30.0800_0.1200,30.08,0.12,22.99,31.83,81.4,8.4,8.5,4.25,15.2,3.5,Loamy
30.0800_0.2000,30.08,0.2,22.95,31.93,84.9,8.4,5.4,2.7,15.44,3.1,Loamy
30.0800_0.2800,30.08,0.28,22.93,31.97,86.6,8.4,8.4,4.2,14.8,3.1,Loamy
30.0800_0.3600,30.08,0.36,22.93,31.97,86.6,8.4,8.8,4.4,15.04,2.9,Loamy
30.0800_0.4400,30.08,0.44,22.94,31.93,91.7,8.4,8.1,4.05,14.96,3.5,Loamy
30.0800_0.5200,30.08,0.52,22.95,31.99,91.6,8.4,8.5,4.25,15.52,3.0,Loamy
30.0800_0.6000,30.08,0.6,22.94,32.05,87.1,8.4,5.7,2.85,16.08,3.3,Loamy
30.0800_0.6800,30.08,0.68,22.94,32.05,87.1,8.4,6.4,3.2,16.08,3.1,Loamy
30.0800_0.7600,30.08,0.76,22.96,32.07,66.8,8.5,6.0,3.0,16.16,3.3,Loamy
30.0800_0.8400,30.08,0.84,23.02,32.07,70.3,8.4,8.5,4.25,15.36,3.5,Loamy
30.0800_0.9200,30.08,0.92,23.04,32.08,67.4,8.4,8.5,4.25,16.16,2.8,Loamy
30.0800_1.0000,30.08,1.0,23.02,32.18,87.7,8.4,5.8,2.9,14.96,3.2,Loamy
30.0800_1.1600,30.08,1.16,23.03,32.21,64.2,8.4,8.5,4.25,16.48,3.1,Loamy
30.0800_1.2400,30.08,1.24,23.11,32.18,79.7,8.4,8.4,4.2,16.56,2.8,Loamy
30.0800_1.3200,30.08,1.32,23.34,32.04,77.6,8.4,8.4,4.2,16.4,3.0,Loamy
30.0800_1.4000,30.08,1.4,23.34,32.04,77.6,8.4,8.3,4.15,16.56,3.1,Loamy
30.0800_1.4800,30.08,1.48,23.38,31.88,78.7,8.4,8.2,4.1,15.6,3.0,Loamy
30.0800_1.5600,30.08,1.56,23.41,31.94,103.0,8.4,8.2,4.1,15.28,2.8,Loamy
30.0800_1.6400,30.08,1.64,23.39,32.2,91.9,8.5,8.1,4.05,16.24,2.6,Loamy
30.0800_1.7200,30.08,1.72,23.39,32.2,91.9,8.5,8.1,4.05,16.56,2.8,Loamy
30.0800_1.8000,30.08,1.8,23.61,31.65,107.4,8.4,5.5,2.75,15.76,3.0,Loamy
30.0800_1.8800,30.08,1.88,23.64,31.52,108.4,8.4,5.3,2.65,15.28,2.5,Loamy
30.0800_1.9600,30.08,1.96,23.65,31.63,109.5,8.4,5.6,2.8,15.44,2.6,Loamy
30.0800_2.0400,30.08,2.04,23.65,31.63,109.5,8.3,5.3,2.65,16.4,2.8,Loamy
30.0800_-0.9200,30.08,-0.92,22.87,31.66,84.2,8.3,11.2,5.6,16.08,3.0,Loamy
30.0800_-0.6800,30.08,-0.68,22.87,31.92,103.2,8.4,14.0,7.0,15.52,4.5,Loamy
30.0800_-0.2800,30.08,-0.28,22.99,31.77,89.0,8.3,6.5,3.25,16.0,4.0,Loamy
30.0800_-0.2000,30.08,-0.2,23.04,31.66,93.7,8.5,9.0,4.5,17.28,2.9,Loamy
30.0800_1.0800,30.08,1.08,23.0,32.22,87.7,8.4,8.4,4.2,15.84,3.1,Loamy
30.0800_2.1200,30.08,2.12,23.52,32.01,116.2,8.3,5.2,2.6,16.16,3.2,Loamy
30.0800_2.2000,30.08,2.2,23.63,31.72,86.4,8.3,5.4,2.7,16.8,3.2,Loamy
30.0800_2.2800,30.08,2.28,23.69,31.28,74.9,8.3,5.2,2.6,18.56,3.4,Loamy
30.0800_2.3600,30.08,2.36,23.69,31.28,74.9,8.4,5.1,2.55,15.2,2.9,Loamy
30.0800_2.4400,30.08,2.44,23.65,31.29,70.3,8.4,5.1,2.55,18.56,3.0,Loamy
30.0800_2.5200,30.08,2.52,23.51,31.55,61.1,8.4,5.2,2.6,14.48,3.1,Loamy
30.0800_2.6000,30.08,2.6,23.51,31.44,88.7,8.5,5.5,2.75,16.8,3.2,Loamy
30.0800_2.6800,30.08,2.68,23.52,31.54,114.7,8.4,8.1,4.05,16.32,3.0,Loamy
30.0800_2.7600,30.08,2.76,23.52,31.54,114.7,8.5,5.4,2.7,16.16,3.1,Loamy
30.0800_2.8400,30.08,2.84,23.61,31.59,76.3,8.4,5.3,2.65,13.12,3.6,Loamy
30.0800_2.9200,30.08,2.92,23.69,31.69,75.7,8.4,7.6,3.8,13.92,2.9,Loamy
30.0800_3.0000,30.08,3.0,23.63,31.81,60.8,8.2,7.6,3.8,12.96,3.3,Loamy
30.0800_3.0800,30.08,3.08,23.63,31.81,60.8,8.3,5.2,2.6,12.48,3.0,Loamy
30.0800_3.1600,30.08,3.16,23.66,31.61,68.4,8.5,12.3,6.15,13.84,3.4,Loamy
30.0800_3.2400,30.08,3.24,23.61,31.66,50.9,8.4,8.0,4.0,13.76,2.7,Loamy
30.0800_3.3200,30.08,3.32,23.57,31.92,56.9,8.4,10.9,5.45,13.44,2.9,Loamy
30.0800_3.4000,30.08,3.4,23.57,31.92,56.9,8.4,8.0,4.0,13.44,3.4,Loamy
30.0800_3.4800,30.08,3.48,23.62,31.9,54.1,8.5,7.7,3.85,12.96,4.2,Loamy
30.0800_3.5600,30.08,3.56,23.67,31.95,66.1,8.5,7.8,3.9,12.8,4.0,Loamy
30.0800_3.6400,30.08,3.64,23.68,31.99,49.2,8.5,7.7,3.85,11.92,2.9,Loamy
30.0800_3.7200,30.08,3.72,23.68,31.99,49.2,8.5,7.3,3.65,12.72,3.2,Loamy
30.0800_3.8000,30.08,3.8,23.77,31.8,49.0,8.5,7.8,3.9,11.92,3.0,Loamy
30.0800_3.8800,30.08,3.88,23.88,31.78,32.1,8.4,7.7,3.85,14.32,2.7,Loamy
30.0800_3.9600,30.08,3.96,24.0,31.8,32.3,8.5,10.7,5.35,12.0,2.9,Loamy
30.0800_4.0400,30.08,4.04,24.0,31.8,32.3,8.4,7.7,3.85,11.92,2.4,Loamy
30.0800_4.1200,30.08,4.12,24.05,31.92,30.9,8.4,7.9,3.95,13.6,2.5,Loamy
30.0800_4.2000,30.08,4.2,24.12,31.89,28.0,8.4,7.5,3.75,11.36,3.7,Loamy
30.0800_4.2800,30.08,4.28,24.18,31.83,25.0,8.4,10.2,5.1,11.84,2.6,Loamy
30.0800_4.3600,30.08,4.36,24.23,31.87,22.6,8.4,7.4,3.7,13.28,2.4,Loamy
30.0800_4.4400,30.08,4.44,24.23,31.87,22.6,8.3,7.5,3.75,12.32,3.4,Loamy
30.0800_4.5200,30.08,4.52,24.15,31.95,20.8,8.3,10.2,5.1,12.08,3.0,Loamy
30.0800_4.6000,30.08,4.6,24.1,32.08,26.7,8.4,7.5,3.75,12.0,3.7,Loamy
30.0800_4.6800,30.08,4.68,24.07,32.27,46.2,8.4,7.5,3.75,11.84,2.6,Loamy
30.0800_4.7600,30.08,4.76,24.07,32.27,46.2,8.3,7.4,3.7,11.76,2.4,Loamy
30.0800_4.8400,30.08,4.84,24.05,32.43,48.7,8.3,7.1,3.55,11.68,2.6,Loamy
30.0800_4.9200,30.08,4.92,24.04,32.55,69.7,8.3,7.5,3.75,11.12,2.6,Loamy
30.0800_5.0000,30.08,5.0,24.0,32.64,43.3,8.3,10.0,5.0,11.04,2.5,Loamy
30.0800_5.0800,30.08,5.08,24.0,32.64,43.3,8.3,7.8,3.9,11.44,2.6,Loamy
30.0800_5.1600,30.08,5.16,23.99,32.62,46.9,8.4,7.4,3.7,11.12,2.4,Loamy
30.0800_5.2400,30.08,5.24,23.96,32.61,37.0,8.4,5.8,2.9,10.32,3.0,Loamy
30.0800_5.3200,30.08,5.32,23.93,32.57,33.4,8.4,12.1,6.05,10.64,3.2,Loamy
30.0800_5.4000,30.08,5.4,23.93,32.57,33.4,8.4,6.2,3.1,11.28,4.2,Loamy
30.0800_5.4800,30.08,5.48,23.94,32.59,36.5,8.4,6.1,3.05,10.48,4.9,Loamy
30.0800_5.5600,30.08,5.56,23.97,32.63,47.3,8.3,7.1,3.55,10.96,4.2,Loamy
30.0800_5.6400,30.08,5.64,23.97,32.68,56.8,8.3,5.8,2.9,9.92,3.2,Loamy
30.0800_5.7200,30.08,5.72,23.97,32.68,56.8,8.4,4.8,2.4,10.32,2.9,Loamy
30.0800_5.8000,30.08,5.8,23.99,32.71,65.3,8.3,8.1,4.05,10.16,2.7,Loamy
30.0800_5.8800,30.08,5.88,24.07,32.64,67.0,8.4,4.9,2.45,10.24,2.2,Loamy
30.0800_5.9600,30.08,5.96,24.12,32.56,57.0,8.3,7.4,3.7,9.92,2.7,Loamy
30.0800_6.0400,30.08,6.04,24.17,32.55,52.2,8.3,7.4,3.7,10.56,2.4,Loamy
30.0800_6.1200,30.08,6.12,24.17,32.55,52.2,8.4,6.6,3.3,10.48,3.1,Loamy
30.0800_6.2000,30.08,6.2,24.22,32.56,52.3,8.3,7.4,3.7,11.12,2.5,Loamy
30.0800_6.2800,30.08,6.28,24.35,32.34,48.5,8.3,7.4,3.7,10.0,2.5,Loamy
30.0800_6.3600,30.08,6.36,24.63,31.96,51.7,8.3,6.9,3.45,10.48,2.5,Loamy
30.0800_6.4400,30.08,6.44,24.63,31.96,51.7,8.3,6.9,3.45,10.64,2.5,Loamy
30.0800_6.5200,30.08,6.52,24.49,32.31,59.7,8.3,6.9,3.45,10.72,2.4,Loamy
30.0800_6.6000,30.08,6.6,24.46,32.37,66.4,8.3,6.9,3.45,11.12,2.7,Loamy
30.0800_6.6800,30.08,6.68,24.26,32.7,51.1,8.2,7.1,3.55,10.96,2.8,Loamy
30.0800_6.7600,30.08,6.76,24.26,32.7,51.1,8.1,6.6,3.3,11.28,2.5,Loamy
30.0800_6.8400,30.08,6.84,24.22,32.78,57.4,8.3,7.0,3.5,10.96,2.6,Loamy
30.0800_6.9200,30.08,6.92,24.2,32.84,64.8,8.2,6.8,3.4,11.36,2.6,Loamy
30.0800_7.0000,30.08,7.0,24.21,32.84,63.6,8.2,9.5,4.75,11.36,2.5,Loamy
30.0800_7.0800,30.08,7.08,24.21,32.84,63.6,8.1,6.7,3.35,11.6,2.9,Loamy
30.0800_7.1600,30.08,7.16,24.21,32.86,70.4,8.1,6.7,3.35,11.76,2.5,Loamy
30.0800_7.2400,30.08,7.24,24.18,33.0,69.1,8.2,6.6,3.3,10.88,2.5,Loamy
30.0800_7.3200,30.08,7.32,24.15,33.16,74.8,8.2,10.0,5.0,11.28,3.0,Loamy
30.0800_7.4000,30.08,7.4,24.15,33.16,74.8,8.0,7.1,3.55,11.76,2.9,Loamy
30.0800_7.4800,30.08,7.48,24.11,33.34,66.5,8.1,7.5,3.75,11.36,3.0,Loamy
30.0800_7.5600,30.08,7.56,24.07,33.39,66.1,8.2,7.1,3.55,11.36,2.8,Loamy
30.0800_7.6400,30.08,7.64,23.96,33.55,78.0,8.1,5.4,2.7,11.2,2.5,Loamy
30.0800_7.7200,30.08,7.72,23.86,33.81,71.9,8.2,8.3,4.15,11.52,3.0,Loamy
30.0800_7.8000,30.08,7.8,23.86,33.81,71.9,8.1,5.1,2.55,12.08,4.2,Loamy
30.0800_7.8800,30.08,7.88,23.84,34.1,89.0,8.1,5.1,2.55,11.36,3.2,Loamy
30.0800_7.9600,30.08,7.96,23.92,33.95,99.2,8.1,6.2,3.1,12.32,2.9,Loamy
30.0800_8.0400,30.08,8.04,23.95,34.07,78.6,8.1,8.7,4.35,11.84,3.5,Loamy
30.0800_8.1200,30.08,8.12,23.95,34.07,78.6,8.1,6.6,3.3,12.32,4.7,Loamy
30.0800_8.2000,30.08,8.2,23.93,34.02,69.6,8.1,6.2,3.1,12.8,4.5,Loamy
30.0800_8.2800,30.08,8.28,23.92,33.85,65.8,8.1,6.5,3.25,12.32,5.1,Loamy
30.0800_8.3600,30.08,8.36,23.91,33.77,70.3,8.1,5.2,2.6,12.16,4.1,Loamy
30.0800_8.4400,30.08,8.44,23.91,33.77,70.3,8.1,6.8,3.4,13.28,4.7,Loamy
30.1600_-1.0000,30.16,-1.0,22.7,31.7,105.1,8.3,13.9,6.95,17.2,3.5,Loamy
30.1600_-0.9200,30.16,-0.92,22.66,31.92,107.6,8.2,5.3,2.65,15.84,3.3,Loamy
30.1600_-0.8400,30.16,-0.84,22.67,31.97,102.0,8.3,10.7,5.35,15.68,3.2,Loamy
30.1600_-0.7600,30.16,-0.76,22.71,31.99,120.3,8.2,10.1,5.05,15.52,3.1,Loamy
30.1600_-0.6800,30.16,-0.68,22.69,32.05,116.2,8.3,9.8,4.9,16.56,3.1,Loamy
30.1600_-0.6000,30.16,-0.6,22.69,32.05,116.2,8.2,7.0,3.5,15.6,4.0,Loamy
30.1600_-0.5200,30.16,-0.52,22.69,32.08,104.5,8.2,6.6,3.3,15.52,3.2,Loamy
30.1600_-0.4400,30.16,-0.44,22.76,32.02,97.8,8.3,7.2,3.6,15.04,3.5,Loamy
30.1600_-0.3600,30.16,-0.36,22.83,31.97,101.2,8.3,10.4,5.2,15.92,3.4,Loamy
30.1600_-0.2800,30.16,-0.28,22.83,31.97,101.2,8.2,7.0,3.5,15.92,2.7,Loamy
30.1600_-0.2000,30.16,-0.2,22.77,32.22,112.2,8.3,6.3,3.15,15.44,3.5,Loamy
30.1600_-0.1200,30.16,-0.12,22.76,32.24,111.4,8.3,9.3,4.65,15.52,3.4,Loamy
